res_type,rotamer,n,frequency%,chi1_mean,chi1_esd,chi2_mean,chi2_esd,chi3_mean,chi3_esd,chi4_mean,chi4_esd,CA_CB_CG_mean,CA_CB_CG_esd,CA_C_O_mean,CA_C_O_esd,CB_CA_C_mean,CB_CA_C_esd,CB_CG_CD_mean,CB_CG_CD_esd,CD_NE_CZ_mean,CD_NE_CZ_esd,CG_CD_NE_mean,CG_CD_NE_esd,NE_CZ_NH1_mean,NE_CZ_NH1_esd,NE_CZ_NH2_mean,NE_CZ_NH2_esd,NH1_CZ_NH2_mean,NH1_CZ_NH2_esd,N_CA_C_mean,N_CA_C_esd,N_CA_CB_mean,N_CA_CB_esd
ARG,ptm-80,215,0.46,65,8.3,-178,14.4,-66,10.3,-85,10.8,114.6,1.28,120.4,0.84,110.3,1.38,111.9,1.74,125.0,1.43,112.4,2.28,120.7,1.21,119.9,1.46,119.4,0.87,111.6,2.54,111.0,1.31
ARG,ptp90,223,0.48,65,9.4,179,11.3,64,8.6,88,11.1,115.0,1.71,120.5,0.96,110.5,1.39,111.8,1.56,124.9,1.15,112.2,2.18,120.8,1.06,119.7,0.97,119.5,0.80,110.9,2.82,111.1,1.19
ARG,ptt-90,726,1.57,66,7.9,-175,12.0,-177,8.9,-87,11.8,114.8,1.51,120.5,0.94,110.5,1.55,111.0,2.04,124.9,1.14,111.7,2.66,120.8,1.01,119.7,1.14,119.5,1.03,111.7,2.55,111.0,1.16
ARG,mtp85,1857,4.00,-66,8.6,178,11.2,65,9.7,88,11.0,113.3,1.82,120.5,0.91,110.1,1.68,112.1,1.71,124.9,1.20,112.3,1.99,120.8,1.05,119.7,1.04,119.5,0.81,111.1,2.41,110.6,1.05
ARG,mmm160,951,2.05,-62,9.2,-66,13.7,-64,9.9,163,24.2,114.5,1.60,120.4,0.88,109.8,1.54,112.5,1.73,124.6,1.31,111.9,1.89,120.6,1.17,119.8,1.11,119.6,0.77,111.4,2.43,110.7,1.18
ARG,ptp-110,77,0.17,68,8.2,-180,11.9,65,10.0,-108,9.9,114.8,1.93,120.7,1.22,110.4,1.42,111.9,1.47,125.6,1.44,111.7,2.29,121.0,1.42,119.6,1.57,119.4,1.13,111.0,2.37,111.0,1.30
ARG,pmt100,4,0.01,70,7.2,-91,9.1,-174,5.4,98,2.0,115.8,0.42,120.6,0.28,110.8,0.49,112.7,0.57,125.1,0.12,111.2,0.92,121.0,0.29,119.6,0.27,119.4,0.05,110.2,1.44,111.4,0.42
ARG,mmm-85,1022,2.20,-63,9.2,-68,10.9,-61,9.2,-86,10.1,114.6,1.52,120.5,0.88,109.7,1.54,112.8,1.62,125.0,1.09,112.5,2.26,120.9,1.01,119.6,0.96,119.5,0.83,111.3,2.64,110.8,1.12
ARG,mmt90,567,1.22,-61,8.8,-68,12.5,179,10.4,90,12.9,114.6,1.39,120.5,0.87,109.5,1.65,112.2,1.61,124.9,1.24,111.6,2.49,120.8,1.22,119.6,1.09,119.6,0.72,111.4,2.72,110.7,1.08
ARG,tmm-80,71,0.15,-174,9.2,-86,8.8,-56,10.7,-82,8.5,115.3,1.32,120.6,0.78,111.1,1.01,113.7,2.29,124.9,1.25,112.6,1.89,120.9,1.10,119.7,0.92,119.4,0.72,109.7,1.70,110.1,1.01
ARG,mmp80,164,0.35,-63,6.7,-75,12.7,74,11.7,78,6.9,114.8,1.39,120.4,0.95,109.8,1.49,113.4,1.62,125.0,1.16,113.5,2.23,120.6,0.99,120.0,0.86,119.5,0.64,111.4,1.82,110.9,0.93
ARG,ppt170,57,0.12,59,9.9,88,12.3,174,12.3,173,17.3,116.2,1.39,120.4,1.04,111.9,1.37,112.4,1.63,124.2,1.28,111.4,1.60,120.5,1.08,119.8,0.87,119.7,0.70,110.8,2.50,111.6,1.32
ARG,tmt170,104,0.22,-174,12.3,-91,12.7,-174,9.4,-171,17.5,115.0,1.33,120.6,0.74,110.9,1.07,112.7,1.72,124.5,0.90,110.7,1.62,120.7,1.03,119.6,0.80,119.7,0.72,108.5,3.17,110.0,1.25
ARG,tpt170,825,1.78,-179,9.0,66,10.4,178,11.7,171,19.3,114.5,1.23,120.5,0.74,110.6,1.15,112.2,1.71,124.5,1.14,110.9,1.87,120.5,0.94,119.7,0.88,119.8,0.86,110.7,1.99,110.2,1.19
ARG,mtm180,2407,5.19,-66,8.1,179,12.7,-67,8.8,173,15.2,113.3,1.63,120.5,0.89,109.9,1.62,111.6,1.68,124.4,1.08,111.4,1.69,120.4,0.90,119.8,0.88,119.8,0.77,111.3,2.63,110.5,1.05
ARG,tpm170,110,0.24,178,8.1,70,10.9,-85,12.8,172,18.6,115.6,1.26,120.6,0.80,110.6,1.33,112.8,2.17,124.7,2.25,112.0,2.15,120.5,1.05,119.8,0.90,119.7,0.74,111.1,1.43,109.9,1.12
ARG,tpt90,652,1.41,179,8.4,66,7.7,179,9.9,86,10.3,114.7,1.27,120.5,0.80,110.3,1.18,112.1,1.67,124.8,0.92,111.9,2.27,120.8,0.97,119.7,0.89,119.5,0.82,111.4,2.06,110.2,1.09
ARG,ptt180,820,1.77,65,8.3,-177,10.4,-180,10.4,179,17.5,114.6,1.53,120.6,1.01,110.5,1.50,111.1,2.01,124.4,1.10,110.7,1.99,120.5,0.94,119.6,0.89,119.9,0.88,111.3,2.49,111.0,1.12
ARG,ttp80,1896,4.09,-177,8.2,180,13.4,63,9.9,83,9.6,113.7,1.50,120.7,0.80,110.0,1.21,112.1,1.53,124.9,1.04,112.6,1.94,120.7,0.95,119.8,0.86,119.5,0.75,110.7,2.06,110.4,1.20
ARG,mmt-90,1428,3.08,-64,6.6,-69,8.1,-175,7.7,-91,11.1,114.5,1.43,120.5,0.85,109.6,1.64,112.0,1.67,124.9,1.00,111.8,2.28,120.9,1.00,119.6,0.88,119.4,0.82,110.1,2.67,110.9,1.11
ARG,mtp-110,470,1.01,-65,8.1,179,10.8,66,11.6,-110,9.6,113.4,1.66,120.4,0.95,110.1,1.68,112.4,1.63,125.3,2.05,111.7,1.88,121.1,1.20,119.4,1.29,119.5,0.90,111.1,2.59,110.7,1.05
