res_type,rotamer,n,frequency%,chi1_mean,chi1_esd,chi2_mean,chi2_esd,chi3_mean,chi3_esd,chi4_mean,chi4_esd,CA_CB_CG_mean,CA_CB_CG_esd,CA_C_O_mean,CA_C_O_esd,CB_CA_C_mean,CB_CA_C_esd,CB_CG_CD_mean,CB_CG_CD_esd,CD_CE_NZ_mean,CD_CE_NZ_esd,CG_CD_CE_mean,CG_CD_CE_esd,N_CA_C_mean,N_CA_C_esd,N_CA_CB_mean,N_CA_CB_esd
LYS,mmmt,544,1.56,-63,7.7,-64,10.7,-71,9.7,-177,9.8,114.6,1.31,120.4,0.97,109.6,1.46,113.1,1.51,111.2,2.21,112.3,1.53,111.8,2.31,110.7,1.05
LYS,tmmt,33,0.09,-179,10.0,-93,12.1,-70,8.9,-180,10.2,115.0,1.85,120.5,0.88,110.7,1.12,113.5,1.73,110.8,2.86,112.4,2.86,110.0,2.15,109.9,1.08
LYS,pptt,25,0.07,64,7.5,90,8.3,176,11.9,179,7.4,116.1,1.24,120.4,0.70,111.3,1.43,112.2,1.70,111.3,1.82,110.6,1.94,111.7,2.09,111.6,1.19
LYS,tttm,1176,3.38,-176,8.1,178,9.7,-176,10.5,-67,12.1,113.9,1.60,120.6,0.82,110.3,1.14,111.0,1.70,112.3,1.97,111.8,1.47,110.5,2.11,110.4,1.16
LYS,mppt,31,0.09,-83,8.9,74,14.9,69,8.0,177,5.4,115.1,1.99,120.4,0.89,109.9,1.23,113.7,1.56,111.4,1.92,112.2,1.37,108.8,1.97,110.9,0.92
LYS,mmmm,90,0.26,-61,8.3,-62,10.4,-67,10.8,-65,10.9,114.7,1.39,120.4,1.06,109.5,1.53,113.2,1.43,112.6,2.73,113.2,1.87,111.7,2.47,110.5,1.11
LYS,tmmm,8,0.02,-178,11.9,-82,7.5,-63,8.0,-64,4.9,116.2,2.69,120.3,0.85,111.2,1.13,114.9,1.37,113.1,1.48,115.0,1.62,109.0,2.01,109.5,1.26
LYS,tttt,5043,14.48,-175,8.2,177,8.7,180,9.2,-180,10.3,113.9,1.52,120.6,0.78,110.2,1.14,111.1,1.74,111.2,1.99,111.0,1.54,110.5,2.28,110.3,1.21
LYS,tptm,197,0.57,-178,7.6,67,9.7,-179,11.4,-66,13.4,115.0,1.45,120.4,0.77,110.4,1.10,111.9,1.41,112.5,2.06,111.9,1.35,110.3,2.06,110.3,1.14
LYS,tptp,409,1.17,-180,8.0,67,10.4,174,13.6,66,13.0,114.8,1.34,120.5,0.83,110.2,1.23,112.1,1.49,112.7,1.95,112.2,1.31,110.3,2.08,110.3,1.12
