# Table name/description: "Top8000 Asp"
# Number of dimensions: 2
# For each dimension, 1 to 2: lower_bound  upper_bound  number_of_bins  wrapping
#   x1: 0.0 360.0 72 true
#   x2: 0.0 180.0 36 true
# List of table coordinates and values. (Value is last number on each line.)
2.5 72.5 1.4034693762982092E-5
2.5 77.5 1.4034693762982092E-5
2.5 82.5 1.4034693762982092E-5
2.5 87.5 1.4034693762982092E-5
2.5 92.5 1.4034693762982092E-5
2.5 97.5 1.4034693762982092E-5
2.5 102.5 1.4034693762982092E-5
2.5 107.5 1.4034693762982092E-5
7.5 62.5 1.4034693762982092E-5
7.5 67.5 1.4034693762982092E-5
7.5 72.5 1.4034693762982092E-5
7.5 77.5 2.8069387525964184E-5
7.5 82.5 4.210408128894627E-5
7.5 87.5 4.210408128894627E-5
7.5 92.5 4.210408128894627E-5
7.5 97.5 4.210408128894627E-5
7.5 102.5 4.210408128894627E-5
7.5 107.5 1.4034693762982092E-5
7.5 112.5 1.4034693762982092E-5
7.5 117.5 1.4034693762982092E-5
12.5 2.5 1.4034693762982092E-5
12.5 7.5 1.4034693762982092E-5
12.5 12.5 1.4034693762982092E-5
12.5 17.5 1.4034693762982092E-5
12.5 22.5 1.4034693762982092E-5
12.5 27.5 1.4034693762982092E-5
12.5 32.5 1.4034693762982092E-5
12.5 37.5 1.4034693762982092E-5
12.5 42.5 1.4034693762982092E-5
12.5 47.5 1.4034693762982092E-5
12.5 52.5 1.4034693762982092E-5
12.5 57.5 1.4034693762982092E-5
12.5 62.5 1.4034693762982092E-5
12.5 67.5 4.210408128894627E-5
12.5 72.5 4.210408128894627E-5
12.5 77.5 4.210408128894627E-5
12.5 82.5 4.210408128894627E-5
12.5 87.5 4.210408128894627E-5
12.5 92.5 4.210408128894627E-5
12.5 97.5 5.613877505192837E-5
12.5 102.5 4.210408128894627E-5
12.5 107.5 4.210408128894627E-5
12.5 112.5 4.210408128894627E-5
12.5 117.5 4.210408128894627E-5
12.5 122.5 1.4034693762982092E-5
12.5 167.5 1.4034693762982092E-5
12.5 172.5 1.4034693762982092E-5
12.5 177.5 1.4034693762982092E-5
17.5 2.5 4.210408128894627E-5
17.5 7.5 4.210408128894627E-5
17.5 12.5 4.210408128894627E-5
17.5 17.5 4.210408128894627E-5
17.5 22.5 5.613877505192837E-5
17.5 27.5 5.613877505192837E-5
17.5 32.5 5.613877505192837E-5
17.5 37.5 5.613877505192837E-5
17.5 42.5 5.613877505192837E-5
17.5 47.5 5.613877505192837E-5
17.5 52.5 5.613877505192837E-5
17.5 57.5 5.613877505192837E-5
17.5 62.5 5.613877505192837E-5
17.5 67.5 5.613877505192837E-5
17.5 72.5 5.613877505192837E-5
17.5 77.5 5.613877505192837E-5
17.5 82.5 5.613877505192837E-5
17.5 87.5 5.613877505192837E-5
17.5 92.5 5.613877505192837E-5
17.5 97.5 5.613877505192837E-5
17.5 102.5 5.613877505192837E-5
17.5 107.5 5.613877505192837E-5
17.5 112.5 5.613877505192837E-5
17.5 117.5 5.613877505192837E-5
17.5 122.5 4.210408128894627E-5
17.5 127.5 1.4034693762982092E-5
17.5 132.5 1.4034693762982092E-5
17.5 157.5 1.4034693762982092E-5
17.5 162.5 1.4034693762982092E-5
17.5 167.5 4.210408128894627E-5
17.5 172.5 4.210408128894627E-5
17.5 177.5 4.210408128894627E-5
22.5 2.5 7.017346881491046E-5
22.5 7.5 7.017346881491046E-5
22.5 12.5 7.017346881491046E-5
22.5 17.5 7.017346881491046E-5
22.5 22.5 7.017346881491046E-5
22.5 27.5 7.017346881491046E-5
22.5 32.5 1.403469376298209E-4
22.5 37.5 1.5438163139280302E-4
22.5 42.5 1.5438163139280302E-4
22.5 47.5 1.2631224386683884E-4
22.5 52.5 7.017346881491046E-5
22.5 57.5 7.017346881491046E-5
22.5 62.5 7.017346881491046E-5
22.5 67.5 7.017346881491046E-5
22.5 72.5 7.017346881491046E-5
22.5 77.5 7.017346881491046E-5
22.5 82.5 7.017346881491046E-5
22.5 87.5 7.017346881491046E-5
22.5 92.5 7.017346881491046E-5
22.5 97.5 7.017346881491046E-5
22.5 102.5 7.017346881491046E-5
22.5 107.5 7.017346881491046E-5
22.5 112.5 7.017346881491046E-5
22.5 117.5 7.017346881491046E-5
22.5 122.5 5.613877505192837E-5
22.5 127.5 5.613877505192837E-5
22.5 132.5 4.210408128894627E-5
22.5 137.5 4.210408128894627E-5
22.5 142.5 1.4034693762982092E-5
22.5 147.5 2.8069387525964184E-5
22.5 152.5 4.210408128894627E-5
22.5 157.5 4.210408128894627E-5
22.5 162.5 5.613877505192837E-5
22.5 167.5 5.613877505192837E-5
22.5 172.5 5.613877505192837E-5
22.5 177.5 5.613877505192837E-5
27.5 2.5 1.5438163139280302E-4
27.5 7.5 1.684163251557851E-4
27.5 12.5 2.1052040644473137E-4
27.5 17.5 2.6665918149665975E-4
27.5 22.5 3.368326503115702E-4
27.5 27.5 4.63144894178409E-4
27.5 32.5 5.754224442822657E-4
27.5 37.5 6.175265255712121E-4
27.5 42.5 5.754224442822657E-4
27.5 47.5 4.771795879413911E-4
27.5 52.5 3.649020378375344E-4
27.5 57.5 2.6665918149665975E-4
27.5 62.5 1.684163251557851E-4
27.5 67.5 1.684163251557851E-4
27.5 72.5 1.5438163139280302E-4
27.5 77.5 1.5438163139280302E-4
27.5 82.5 1.5438163139280302E-4
27.5 87.5 1.5438163139280302E-4
27.5 92.5 1.684163251557851E-4
27.5 97.5 1.684163251557851E-4
27.5 102.5 1.5438163139280302E-4
27.5 107.5 1.5438163139280302E-4
